Jugador,Seleccion,Posicion,Minutos,IVO_P90,Pases_P90,Conducciones_P90,Regates_P90,Tiros_P90,Presion_Pct
Jordan Morris,United States,ED,194,0.02,1.9,1.4,0.0,0.0,14.3
Jordan Veretout,France,MC,60,0.17,52.5,45.0,0.0,0.0,20.0
Jordi Alba Ramos,Spain,LI,333,0.75,100.3,74.9,1.1,0.5,9.3
Jorge Eduardo Sánchez Ramos,Mexico,LD,181,0.4,42.8,28.3,2.0,0.5,19.6
Jorge Resurrección Merodio,Spain,MCD,189,0.1,30.0,22.9,0.0,0.0,7.2
Joseff Morrell,Wales,MCD,183,0.02,6.4,5.9,0.0,0.0,28.0
Joshua Kimmich,Germany,MCD,291,0.93,83.8,55.7,0.9,2.2,15.6
Joshua Sargent,United States,DC,232,0.14,13.2,14.7,0.4,1.6,40.3
Josip Juranović,Croatia,LD,599,0.59,61.0,44.9,0.6,0.2,10.4
Josip Stanišić,Croatia,LD,92,0.26,47.9,32.3,0.0,1.0,16.9
Josip Šutalo,Croatia,DFC,86,0.25,69.1,58.6,0.0,0.0,3.3
José Adoni Cifuentes Charcopa,Ecuador,MCD,187,0.11,20.7,14.4,0.5,0.5,26.7
José Andrés Guardado Hernández,Mexico,MC,39,0.06,36.9,25.4,0.0,0.0,25.9
José Diogo Dalot Teixeira,Portugal,LD,263,0.54,48.6,33.2,1.4,0.3,18.9
José Martín Cáceres Silva,Uruguay,LD,94,0.47,77.6,49.8,1.0,0.0,8.2
José María Giménez de Vargas,Uruguay,DFC,285,0.36,52.7,36.9,0.6,0.9,6.9
João Félix Sequeira,Portugal,EI,331,0.47,33.2,34.0,2.4,3.0,27.3
João Maria Lobo Alves Palhinha Gonçalves,Portugal,MCD,290,0.08,9.3,7.8,0.9,0.3,18.6
João Mário Naval da Costa Eduardo,Portugal,EI,176,0.15,20.5,17.4,1.5,0.0,22.1
João Pedro Cavaco Cancelo,Portugal,LI,375,0.56,64.6,54.2,2.9,0.5,16.7
Joško Gvardiol,Croatia,DFC,682,0.41,67.3,55.7,0.3,0.3,7.6
Juan Marcos Foyth,Argentina,LD,94,0.08,3.8,3.8,1.0,0.0,33.3
Juan Pablo Vargas Campos,Costa Rica,DFC,100,0.12,25.2,15.3,0.0,0.9,19.6
Jude Bellingham,England,MC,417,0.45,59.4,50.1,2.4,1.1,23.7
Jules Koundé,France,LD,580,0.33,47.8,32.1,0.6,0.6,15.3
Jules Olivier Ntcham,Cameroon,MCD,91,0.29,11.9,11.9,1.0,1.0,46.2
Julián Álvarez,Argentina,DC,582,0.3,19.2,16.4,0.6,1.7,32.7
Jun-Ho Son,South Korea,MCD,275,0.15,20.0,12.8,0.0,0.0,8.0
Junya Ito,Japan,LD,391,0.3,22.6,18.0,1.4,0.5,32.1
Jurriën David Norman Timber,Netherlands,DFC,395,0.34,72.0,59.5,1.1,0.0,10.5
Kai Havertz,Germany,DC,176,0.47,16.9,13.8,0.5,2.6,33.3
Kalidou Koulibaly,Senegal,DFC,370,0.26,47.7,34.3,0.2,0.2,12.1
Kalvin Phillips,England,MCD,183,0.05,9.3,5.9,0.0,0.0,19.4
Kamal Miller,Canada,DFC,279,0.39,64.2,51.9,0.6,0.0,10.8
Kamaldeen Sulemana,Ghana,EI,195,0.21,9.2,11.1,1.8,0.5,53.1
Kamil Glik,Poland,DFC,369,0.13,31.7,23.2,0.0,0.7,4.4
Kamil Grosicki,Poland,EI,95,0.22,5.7,5.7,0.9,0.0,38.5
Kang-In Lee,South Korea,MC,366,0.36,18.9,15.5,0.2,1.2,17.1
Kaoru Mitoma,Japan,LI,401,0.3,16.4,12.8,0.9,0.4,30.9
Karim Ansarifard,Iran,MCO,191,0.07,2.8,2.4,0.0,0.5,33.3
Karim Boudiaf,Qatar,MCD,251,0.17,38.4,31.2,0.7,0.0,20.4
Karl Brillant Toko Ekambi,Cameroon,EI,224,0.33,20.9,19.7,0.8,0.8,41.9
Karol Świderski,Poland,DC,48,0.04,15.0,9.4,0.0,0.0,46.2
Kasper Dolberg,Denmark,DC,250,0.12,6.5,9.7,1.4,1.4,37.7
Keanu Baccus,Australia,MCD,336,0.06,10.7,8.8,0.3,0.3,25.3
Kellyn Kai Perry-Acosta,United States,MC,195,0.04,5.5,5.1,0.0,0.0,13.0
Kendall Jamaal Waston Manley,Costa Rica,DFC,268,0.08,25.9,15.1,0.0,0.3,15.4
Kenneth Taylor,Netherlands,MCD,95,0.06,8.5,6.6,0.0,0.0,31.2
Kevin De Bruyne,Belgium,ED,276,0.99,45.7,37.8,2.3,2.3,27.8
Kevin José Rodríguez Cortez,Ecuador,DC,189,0.0,0.5,0.0,0.0,0.5,50.0
Kevin Nahin Álvarez Campos,Mexico,LD,158,0.21,13.7,9.1,1.1,0.0,26.2
Keysher Fuller Spence,Costa Rica,LD,243,0.18,22.6,18.1,0.7,1.1,20.9
Kieffer Roberto Francisco Moore,Wales,DC,283,0.24,19.1,14.0,0.0,1.9,33.6
Kieran Trippier,England,LD,279,0.5,62.9,37.7,0.3,0.3,7.0
Kingsley Coman,France,ED,550,0.17,11.5,14.6,2.0,0.3,37.6
Kléper Laveran Lima Ferreira,Portugal,DFC,378,0.43,70.2,56.0,0.2,0.7,9.2
Ko Itakura,Japan,DFC,273,0.24,36.6,28.0,1.0,1.0,14.9
Krystian Bielik,Poland,MCD,343,0.15,25.7,18.9,1.0,0.5,25.6
Krzysztof Piątek,Poland,DC,188,0.02,2.9,1.9,0.0,0.5,54.5
Krépin Diatta,Senegal,ED,163,0.78,42.0,42.0,2.8,1.7,35.6
Kye Rowles,Australia,DFC,352,0.12,49.9,32.5,0.0,0.0,8.1
Kyle Walker,England,LD,235,0.43,67.8,51.3,1.1,0.0,13.4
Kylian Mbappé Lottin,France,EI,689,1.03,30.4,38.9,6.5,4.2,35.7
Kyung-Won Kwon,South Korea,DFC,187,0.07,20.7,14.0,0.0,0.5,4.1
Lautaro Javier Martínez,Argentina,DC,594,0.15,9.5,9.7,1.2,2.3,46.0
Leander Dendoncker,Belgium,DFC,162,0.26,66.1,51.7,0.6,0.6,7.9
Leandro Daniel Paredes,Argentina,MCD,456,0.33,47.4,37.3,0.0,0.6,6.0
Leandro Trossard,Belgium,DC,237,0.22,21.6,21.3,1.5,0.0,35.9
Leon Goretzka,Germany,MCD,233,0.18,22.8,14.3,0.4,1.5,21.8
Leroy Sané,Germany,ED,193,0.63,26.1,24.2,1.9,1.4,21.7
Liam Millar,Canada,MC,92,0.22,8.8,5.9,0.0,0.0,0.0
Lionel Andrés Messi Cuccittini,Argentina,DC,721,1.07,46.3,48.8,4.5,4.2,39.3
Lisandro Martínez,Argentina,DFC,479,0.15,28.9,21.4,0.0,0.2,17.1
Lovro Majer,Croatia,MCD,680,0.16,13.0,12.6,0.4,0.7,28.4
Lucas Daniel Cavallini,Canada,DC,94,0.04,2.9,1.9,0.0,0.0,20.0
Lucas Hernández Pi,France,LI,7,0.14,128.6,77.1,0.0,0.0,0.0
Lucas Tolentino Coelho de Lima,Brazil,MCD,311,0.41,58.5,44.0,0.9,1.2,20.5
Luis Alberto Suárez Díaz,Uruguay,DC,216,0.16,16.7,12.9,0.8,0.8,41.3
Luis Gerardo Chávez Magallón,Mexico,MC,283,0.75,45.8,34.0,1.0,3.2,23.5
Luka Jović,Serbia,DC,91,0.12,9.9,7.9,0.0,2.0,15.0
Luka Modrić,Croatia,MC,659,0.75,75.0,62.5,1.4,1.0,19.4
Lukas Klostermann,Germany,LD,192,0.17,22.0,14.1,0.0,0.0,3.9
Luke Shaw,England,LI,432,0.76,84.0,63.3,0.2,0.6,15.6
Luuk de Jong,Netherlands,DC,126,0.14,7.9,5.7,0.0,1.4,38.1
Manuel Obafemi Akanji,Switzerland,DFC,374,0.43,61.4,46.7,0.2,1.0,10.1
Marcelo Brozović,Croatia,MCD,563,0.43,84.6,70.3,1.3,0.8,18.9
Marco Asensio Willemsen,Spain,DC,274,0.52,38.4,35.1,1.0,3.3,23.6
Marcos Aoás Corrêa,Brazil,DFC,505,0.43,64.0,51.5,0.4,0.4,7.4
Marcos Javier Acuña,Argentina,LI,524,0.39,37.3,28.9,0.9,0.3,19.9
Marcos Llorente Moreno,Spain,LD,122,0.33,76.7,58.3,0.0,0.7,16.8
Marcus Rashford,England,ED,447,0.27,13.3,14.1,2.0,2.2,28.7
Marcus Thuram,France,EI,394,0.21,10.3,11.4,1.6,0.2,53.4
Mario Götze,Germany,MC,196,0.2,7.3,6.4,1.4,0.5,26.5
Mario Pašalić,Croatia,ED,606,0.12,13.8,12.9,0.7,0.6,37.6
Mark Anthony Kaye,Canada,MCD,58,0.3,88.4,69.8,0.0,1.6,15.5
Marko Grujić,Serbia,MC,94,0.23,16.3,12.4,1.0,1.0,15.6
Marko Livaja,Croatia,DC,494,0.17,10.4,10.0,0.7,1.3,39.8
Marten de Roon,Netherlands,MCD,362,0.07,30.3,19.1,0.0,0.0,10.1
Martin Braithwaite Christensen,Denmark,DC,138,0.1,12.4,13.0,2.0,0.7,53.5
Martin Hongla Yma II,Cameroon,MC,116,0.36,49.7,36.5,1.6,0.8,21.9
Mason Mount,England,MCO,328,0.3,19.8,17.6,1.1,1.1,25.0
Mateo Kovačić,Croatia,MC,619,0.55,66.3,58.7,2.0,0.4,22.7
Matheus Luiz Nunes,Portugal,MC,158,0.17,18.8,18.8,0.6,0.6,25.0
Mathew Leckie,Australia,MC,330,0.29,28.1,26.7,3.8,0.3,46.8
Mathias Jensen,Denmark,MC,150,0.53,40.8,34.8,0.6,1.2,11.6
Mathías Olivera Miramontes,Uruguay,LI,254,0.53,47.1,29.1,0.7,0.7,16.9
Matthias Ginter,Germany,DFC,98,0.03,2.8,2.8,0.0,0.0,0.0
Matthijs de Ligt,Netherlands,DFC,98,0.26,41.3,31.2,0.0,0.0,7.6
Matty Cash,Poland,LD,363,0.34,38.7,24.5,0.2,0.2,12.5
Mattéo Guendouzi Olié,France,EI,77,0.17,37.4,31.6,1.2,0.0,15.0
Matías Nicolás Viña Susperreguy,Uruguay,LI,195,0.05,9.2,6.0,0.5,0.0,17.6
Matías Vecino Falero,Uruguay,MC,231,0.19,40.1,27.7,0.8,0.4,22.0
Maximiliano Gómez González,Uruguay,DC,193,0.09,3.3,2.3,0.0,0.9,21.4
Maya Yoshida,Japan,DFC,382,0.21,53.5,38.4,0.7,0.2,13.5
Mehdi Taremi,Iran,MCO,299,0.42,24.7,21.4,1.5,1.8,44.5
Mehdi Torabi,Iran,MC,288,0.16,11.6,10.3,0.6,0.6,25.7
Memphis Depay,Netherlands,DC,402,0.39,28.4,24.9,2.9,2.2,40.2
Michael Steveen Estrada Martínez,Ecuador,DC,214,0.15,18.1,17.7,0.8,1.3,52.2
Michał Skóraś,Poland,MC,93,0.04,8.7,7.7,0.0,1.0,27.8
Michel Aebischer,Switzerland,MCO,91,-0.0,4.0,3.0,0.0,0.0,14.3
Michy Batshuayi Tunga,Belgium,DC,139,0.28,14.9,20.7,0.6,3.9,43.5
Miki Yamane,Japan,LD,59,0.67,50.3,25.9,1.5,0.0,23.5
Mikkel Damsgaard,Denmark,EI,259,0.27,24.7,23.3,0.0,0.0,19.6
Milad Mohammadi,Iran,LI,194,0.3,31.5,18.1,1.4,0.0,20.0
Milos Veljkovic,Serbia,DFC,223,0.15,45.2,33.1,0.0,0.0,8.2
Miloš Degenek,Australia,LD,351,0.16,24.9,13.8,0.8,0.0,23.4
Min Jae Kim,South Korea,DFC,279,0.42,60.3,45.8,0.3,0.6,7.5
Mislav Oršić,Croatia,EI,618,0.29,8.0,7.6,0.4,1.5,26.7
Mitchell Thomas Duke,Australia,DC,257,0.22,23.8,14.4,0.7,2.5,39.0
Mohamed Ali Ben Romdhane,Tunisia,MCO,69,0.3,24.8,32.6,1.3,0.0,37.8
Mohamed Dräger,Tunisia,LD,126,0.46,36.4,25.0,2.9,2.9,16.0
Mohamed Salisu,Ghana,DFC,274,0.28,48.9,33.5,0.0,0.7,14.2
Mohammad Hossein Kanani Zadegan,Iran,DFC,95,0.07,10.4,6.6,0.0,0.0,27.8
Mohammed Al Burayk,Saudi Arabia,LI,163,0.27,26.5,20.4,0.6,1.1,12.5
Mohammed Kanoo,Saudi Arabia,MCD,294,0.42,44.4,33.7,2.4,1.8,25.7
Mohammed Kudus,Ghana,MC,248,0.52,29.8,36.3,5.4,2.9,48.8
Mohammed Muntari,Qatar,DC,278,0.09,6.2,5.8,0.0,1.0,37.5
Mohammed Waed Abdulwahhab Al Bayati,Qatar,DFC,186,0.05,5.8,5.8,0.0,0.0,33.3
Moisés Isaac Caicedo Corozo,Ecuador,MCD,271,0.25,51.1,34.9,0.3,1.0,29.7
Montassar Omar Talbi,Tunisia,DFC,267,0.3,44.8,33.7,0.3,0.3,14.0
Moon-Hwan Kim,South Korea,LD,385,0.5,56.6,38.6,0.7,0.0,15.4
Morteza Pouraliganji,Iran,DFC,289,0.19,39.9,23.4,0.0,0.6,10.7
Mosaab Khoder Jibril,Qatar,LD,92,0.0,2.9,2.0,0.0,0.0,0.0
Nader Ghandri,Tunisia,DFC,72,0.09,37.5,28.7,0.0,0.0,7.5
Nahuel Molina Lucero,Argentina,LD,639,0.35,50.7,33.5,0.4,0.3,15.3
Nampalys Mendy,Senegal,MCD,348,0.25,41.9,30.0,0.8,0.5,10.6
Nasser Al Dawsari,Saudi Arabia,MCD,97,0.13,9.3,7.4,0.0,0.0,16.7
Nathan Aké,Netherlands,DFC,483,0.36,65.6,51.4,0.0,0.0,7.8
Nathaniel Atkinson,Australia,LD,82,0.26,40.6,24.1,1.1,0.0,23.3
Nawaf Shaker Al Abid,Saudi Arabia,MCO,177,0.23,19.3,21.9,1.5,1.0,29.1
Nayef Aguerd,Morocco,DFC,334,0.18,41.5,31.3,0.0,0.3,7.0
Naïm Sliti,Tunisia,ED,190,0.38,23.7,22.7,2.8,0.5,37.1
Neco Williams,Wales,LI,204,0.51,42.8,32.6,3.1,1.3,29.3
Nemanja Gudelj,Serbia,MCD,151,0.12,32.8,23.2,0.0,0.0,11.7
Nemanja Maksimović,Serbia,MCD,280,0.13,18.3,13.2,0.0,0.0,8.2
Nemanja Radonjić,Serbia,LD,285,0.32,7.3,7.3,0.6,0.6,28.0
Neymar da Silva Santos Junior,Brazil,MCO,275,0.99,51.1,55.3,6.9,3.9,36.9
Ngoran Suiru Fai Collins,Cameroon,LD,273,0.48,50.1,29.3,0.0,0.3,15.7
Nicholas Williams Arthuer,Spain,ED,350,0.24,15.9,21.1,3.3,0.0,46.5
Niclas Füllkrug,Germany,DC,283,0.18,8.0,3.8,0.3,2.5,28.3
Nico Elvedi,Switzerland,DFC,185,0.29,68.6,53.5,0.0,0.5,6.7
Nico Schlotterbeck,Germany,DFC,192,0.42,57.7,42.2,0.9,0.0,9.8
Nicola Zalewski,Poland,MC,135,0.17,12.0,14.0,0.0,0.0,25.6
Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,DFC,183,0.17,45.7,38.9,0.5,1.5,8.5
Nicolas Jackson,Senegal,ED,97,0.07,9.3,9.3,0.0,0.0,75.0
Nicolas Moumi Ngamaleu,Cameroon,MC,173,0.26,12.5,14.0,1.6,0.0,42.6
Nicolás Alejandro Tagliafico,Argentina,LI,573,0.19,28.6,19.2,0.5,0.5,18.1
Nicolás Hernán Otamendi,Argentina,DFC,715,0.28,71.1,56.0,0.0,0.1,5.7
Niklas Süle,Germany,DFC,280,0.56,81.0,60.8,0.0,0.3,9.7
Nikola Milenković,Serbia,DFC,281,0.26,50.3,34.9,0.0,1.0,11.9
Nikola Vlašić,Croatia,ED,561,0.14,8.8,11.1,0.6,1.1,37.8
Noa Lang,Netherlands,MC,120,-0.0,2.2,1.5,0.0,0.0,20.0
Noah Okafor,Switzerland,ED,284,0.09,6.7,7.3,0.0,0.3,42.2
Nouhou Tolo,Cameroon,LI,268,0.23,35.6,19.5,0.7,0.0,19.3
Noussair Mazraoui,Morocco,LI,324,0.3,33.6,23.6,0.6,1.1,22.6
Nuno Mendes,Portugal,LI,37,1.09,82.7,68.1,4.9,0.0,10.9
Néstor Alejandro Araújo Razo,Mexico,DFC,96,0.48,52.5,36.6,0.0,0.0,6.3
Olivier Giroud,France,DC,386,0.28,17.5,8.6,0.0,4.0,38.0
Orbelín Pineda Alvarado,Mexico,MCO,75,0.44,31.2,39.6,1.2,4.8,32.8
Osman Bukari,Ghana,ED,195,0.24,9.7,9.7,0.9,1.4,21.3
Otávio Edmilson da Silva Monteiro,Portugal,MC,193,0.63,61.1,48.5,0.9,1.4,25.4
Ousmane Dembélé,France,ED,494,0.71,34.8,35.2,3.3,1.5,23.4
Pablo Martín Páez Gavira,Spain,MC,287,0.32,48.0,45.5,2.2,0.3,22.5
Pablo Sarabia García,Spain,ED,122,0.15,3.7,1.5,0.0,1.5,0.0
Pape Abou Cissé,Senegal,DFC,193,0.07,17.7,13.5,0.5,0.0,7.4
Pape Gueye,Senegal,MCD,276,0.28,19.9,14.7,0.7,1.3,32.1
Pape Matar Sarr,Senegal,MCO,189,0.39,22.4,13.8,0.5,1.9,14.8
Pathé Ismaël Ciss,Senegal,MCD,205,0.19,26.3,19.8,0.9,0.4,30.6
Pau Francisco Torres,Spain,DFC,96,0.91,178.1,158.4,0.0,0.0,6.7
Paulo Bruno Exequiel Dybala,Argentina,DC,212,0.12,5.5,3.8,0.4,0.4,37.5
Pedro González López,Spain,MC,362,0.75,105.9,96.7,2.5,0.0,17.8
Pedro Guilherme Abreu dos Santos,Brazil,DC,219,0.12,6.2,6.6,0.4,2.1,40.5
Pedro Miguel Correia,Qatar,DFC,261,0.28,39.7,27.9,1.0,0.7,21.9
Pervis Josué Estupiñán Tenorio,Ecuador,LI,284,0.64,59.3,42.1,2.5,0.6,20.9
Philip Foden,England,EI,322,0.48,33.0,29.1,1.4,1.7,30.5
Piero Martín Hincapié Reyna,Ecuador,DFC,283,0.26,63.3,48.0,0.0,0.0,4.3
Pierre Kunde Malong,Cameroon,MCD,124,0.75,37.0,26.1,0.0,3.6,19.6
Pierre-Emile Højbjerg,Denmark,MCD,267,0.56,75.5,65.7,0.7,0.7,14.2
Piotr Zieliński,Poland,MC,324,0.56,42.5,28.3,1.1,0.8,21.8
Przemysław Frankowski,Poland,MC,318,0.14,20.7,16.7,0.3,0.3,26.9
Rafael Alexandre Conceição Leão,Portugal,EI,474,0.29,8.5,10.8,1.3,0.9,39.5
Raheem Sterling,England,EI,223,0.22,23.4,21.8,1.2,0.4,40.5
Ramin Rezaeian,Iran,LD,199,0.64,47.5,34.4,1.4,0.9,19.9
Randal Kolo Muani,France,DC,313,0.22,10.4,12.9,2.0,1.4,51.6
Raphael Dias Belloli,Brazil,ED,392,0.86,34.4,34.0,2.5,1.8,24.6
Raphaël Adelino José Guerreiro,Portugal,LI,337,0.64,51.0,32.0,0.3,0.8,13.7
Raphaël Varane,France,DFC,511,0.24,49.3,38.4,0.2,0.5,8.0
Rasmus Nissen Kristensen,Denmark,LD,231,0.66,69.4,50.3,1.6,0.0,9.6
Raúl Alonso Jiménez Rodríguez,Mexico,DC,283,0.07,10.2,6.0,0.0,0.0,35.3
Remo Freuler,Switzerland,MCD,330,0.25,40.6,30.8,1.1,0.8,21.2
Renato Steffen,Switzerland,ED,92,0.11,12.7,9.8,1.0,0.0,25.0
Ricardo Iván Rodríguez Araya,Switzerland,LI,365,0.35,56.0,39.0,0.2,0.0,19.9
Ricardo Jorge Luz Horta,Portugal,ED,285,0.12,14.8,11.1,0.0,0.9,17.6
Richarlison de Andrade,Brazil,DC,321,0.3,15.1,18.5,2.0,2.2,45.9
Richie Laryea,Canada,LD,212,0.52,19.1,21.7,2.5,0.8,33.7
Riley McGree,Australia,MC,238,0.32,27.6,23.1,0.4,1.1,30.4
Ritsu Doan,Japan,ED,308,0.38,16.7,15.8,2.9,1.2,44.8
Riyadh Sharahili,Saudi Arabia,MCD,96,0.08,17.8,15.0,0.9,0.0,30.6
Roan Roberto Wilson Gordon,Costa Rica,MCD,99,0.02,5.5,6.4,0.0,0.0,23.1
Robert Lewandowski,Poland,DC,377,0.33,21.7,22.7,2.4,2.9,49.0
Robert Skov,Denmark,LI,94,0.16,20.1,20.1,1.9,0.0,11.4
Roberto Carlos Alvarado Hernández,Mexico,EI,95,0.05,10.4,10.4,0.9,0.0,21.7
Rodrigo Bentancur Colmán,Uruguay,MCD,222,0.53,64.1,53.1,2.0,1.2,22.2
Rodrigo Hernández Cascante,Spain,DFC,406,0.83,150.5,121.7,0.0,0.2,6.5
Rodrigo Javier De Paul,Argentina,MC,619,0.57,81.9,67.0,1.9,1.0,15.8
Rodrygo Silva de Goes,Brazil,MCO,449,0.41,22.4,20.8,1.6,1.4,21.2
Rogelio Gabriel Funes Mori,Mexico,DC,88,0.03,0.0,0.0,0.0,1.0,0.0
Romain Saïss,Morocco,DFC,438,0.2,39.7,26.3,0.2,0.2,6.8
Romario Andrés Ibarra Mina,Ecuador,MC,159,0.2,9.1,10.2,0.6,1.1,16.2
Romelu Lukaku Menama,Belgium,DC,182,0.08,4.5,4.0,0.5,2.5,60.9
Ronald Alberto Matarrita Ulate,Costa Rica,LI,192,0.13,13.6,9.4,0.0,0.0,12.2
Roozbeh Cheshmi,Iran,DFC,152,0.09,8.3,3.6,0.0,0.6,28.6
Ruben Vargas,Switzerland,EI,281,0.6,36.5,29.8,0.6,1.0,22.6
Rubin Colwill,Wales,MCD,85,0.13,4.2,2.1,0.0,1.1,0.0
Rúben Diogo Da Silva Neves,Portugal,MCD,345,0.37,67.6,55.3,0.0,0.5,12.3
Rúben Santos Gato Alves Dias,Portugal,DFC,364,0.29,65.8,53.4,0.0,0.2,7.7
Sadegh Moharrami,Iran,LD,98,0.19,23.9,18.4,1.8,0.0,25.0
Saeid Ezatolahi Afagh,Iran,MCD,273,0.44,30.3,19.1,0.0,1.0,24.2
Saleh Khalid Al Shehri,Saudi Arabia,DC,211,0.29,19.6,18.8,2.1,1.3,48.0
Salem Mohammed Al Dawsari,Saudi Arabia,EI,292,0.7,36.1,34.5,2.2,2.2,26.3
Salis Abdul Samed,Ghana,MCD,261,0.23,49.0,42.8,1.7,0.3,19.9
Salman Mohammed Al Faraj,Saudi Arabia,MC,38,0.13,35.5,33.2,4.7,0.0,32.3
Sam Adekugbe,Canada,LI,247,0.26,26.2,19.3,0.4,0.0,15.1
Saman Ghoddos,Iran,EI,97,0.2,19.5,13.9,0.0,0.9,35.1
Sami Khalil Al Naji,Saudi Arabia,MCO,54,0.5,35.0,26.7,0.0,0.0,18.9
Samuel Yves Oum Gwet,Cameroon,MCD,189,0.13,27.1,21.4,0.0,0.0,13.7
Sang-Ho Na,South Korea,ED,171,0.34,20.0,21.6,3.2,0.5,37.2
Sardar Azmoun,Iran,DC,211,0.24,13.6,7.3,0.0,2.1,33.3
Saud Abdullah Abdul Hamid,Saudi Arabia,LD,293,0.57,36.6,25.8,1.2,0.3,17.3
Saša Lukić,Serbia,MCD,240,0.36,60.8,50.2,0.4,0.4,14.8
Sebastian Szymański,Poland,MC,127,0.16,28.3,23.4,1.4,0.0,28.0
Sebastián Coates Nión,Uruguay,DFC,197,0.24,44.3,26.0,0.0,0.5,9.0
Selim Amallah,Morocco,MC,536,0.11,14.8,15.8,1.7,0.3,40.7
Serge Gnabry,Germany,ED,261,0.72,39.0,34.8,2.1,4.1,23.7
Sergej Milinković-Savić,Serbia,MCO,234,0.4,46.2,41.2,1.2,1.2,26.2
Sergino Dest,United States,LD,287,0.89,63.0,57.7,2.5,1.9,15.8
Sergio Busquets i Burgos,Spain,MCD,370,0.35,70.5,42.3,0.5,0.7,16.2
Seung-Ho Paik,South Korea,MC,93,0.25,23.2,15.5,0.0,1.0,4.9
Seyed Majid Hosseini,Iran,DFC,284,0.13,34.9,23.1,0.3,0.0,16.8
Shaquell Moore,United States,LD,190,0.08,9.9,7.1,0.0,0.0,8.3
Shogo Taniguchi,Japan,DFC,207,0.21,37.4,25.2,0.0,0.9,11.0
Silvan Widmer,Switzerland,LD,274,0.53,53.9,34.8,0.0,0.3,12.9
Simon Thorup Kjær,Denmark,DFC,61,0.68,81.1,70.8,0.0,0.0,2.9
Sofiane Boufal,Morocco,EI,457,0.55,26.4,31.5,3.9,1.4,36.1
Sofyan Amrabat,Morocco,MCD,682,0.22,42.6,32.6,0.1,0.1,14.5
Sorba Thomas,Wales,MC,100,0.14,3.6,4.5,0.9,0.0,20.0
Srđan Babić,Serbia,DFC,94,0.13,14.4,12.4,0.0,0.0,7.1
Stefan Mitrović,Serbia,DFC,90,0.12,19.0,12.0,0.0,0.0,0.0
Stephen Antunes Eustáquio,Canada,MCD,127,0.72,65.9,53.1,1.4,2.1,9.8
Steven Berghuis,Netherlands,MCO,387,0.38,29.8,25.1,1.2,1.4,21.1
Steven Bergwijn,Netherlands,DC,258,0.17,24.8,23.4,1.4,0.7,39.6
Steven de Sousa Vitoria,Canada,DFC,272,0.28,60.6,45.0,0.0,0.0,10.0
Strahinja Pavlović,Serbia,DFC,247,0.48,55.4,44.1,0.7,0.7,16.2
Sultan Abdullah Salim Al Ghannam,Saudi Arabia,LD,284,0.2,17.4,10.1,0.6,0.6,22.0
Taha Yassine Khenissi,Tunisia,DC,174,0.04,1.6,1.6,0.0,0.5,28.6
Tajon Buchanan,Canada,LD,264,0.65,30.0,37.8,7.8,1.7,37.0
Takefusa Kubo,Japan,ED,74,0.31,15.8,19.5,0.0,0.0,31.0
Takehiro Tomiyasu,Japan,DFC,291,0.17,30.3,17.9,0.0,0.0,9.0
Takuma Asano,Japan,DC,386,0.19,6.8,7.0,0.2,2.1,39.1
Takumi Minamino,Japan,EI,311,0.08,6.9,5.5,0.0,0.9,19.6
Tarek Salman Salman,Qatar,DFC,93,0.03,10.6,7.7,0.0,0.0,10.5
Tariq Lamptey,Ghana,LD,163,0.24,18.2,13.3,1.1,0.6,21.7
Teun Koopmeiners,Netherlands,MCD,481,0.21,22.5,18.5,0.2,0.6,24.2
Theo Bernard François Hernández,France,LI,533,0.55,56.1,43.1,1.0,0.8,14.7
Thiago Emiliano da Silva,Brazil,DFC,399,0.5,75.6,59.3,0.2,0.5,6.2
Thiago Ezequiel Almada,Argentina,EI,95,0.13,12.3,10.4,0.0,0.0,8.3
Thilo Kehrer,Germany,LD,66,0.16,38.2,21.8,0.0,0.0,25.0
Thomas Delaney,Denmark,MCD,44,0.29,63.4,55.2,0.0,0.0,17.2
Thomas Meunier,Belgium,LD,254,0.46,50.3,38.6,0.7,1.1,17.6
Thomas Müller,Germany,MCO,193,0.35,33.6,17.7,0.0,1.4,25.7
Thomas Teye Partey,Ghana,MCD,294,0.38,55.4,41.3,1.5,0.6,18.6
Thorgan Hazard,Belgium,EI,162,0.52,32.8,23.3,0.6,0.0,19.6
Tim Ream,United States,DFC,380,0.35,63.9,50.9,0.2,0.2,5.1
Timothy Castagne,Belgium,LI,276,0.34,65.5,48.3,0.7,0.0,17.9
Timothy Weah,United States,ED,291,0.44,33.7,31.5,1.2,1.5,27.3
Toby Alderweireld,Belgium,DFC,278,0.41,86.4,75.8,0.0,0.0,9.0
Trent Alexander-Arnold,England,LD,93,0.22,22.3,17.4,0.0,0.0,12.2
Tyler Adams,United States,MCD,379,0.33,63.9,47.7,0.5,0.2,13.5
Ui-Jo Hwang,South Korea,DC,243,0.03,4.1,3.7,0.4,0.4,43.5
Victor Nelsson,Denmark,DFC,96,0.44,67.5,51.6,0.0,0.0,6.3
Vincent Janssen,Netherlands,DC,145,0.06,12.4,9.9,0.6,1.2,35.9
Vincent Paté Aboubakar,Cameroon,MCO,270,0.28,10.3,11.7,2.3,2.0,50.6
Vinícius José Paixão de Oliveira Júnior,Brazil,EI,293,0.9,28.0,41.5,4.6,2.8,35.6
